presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 1 | hr: 42 → 41 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 5 | spo2: 99 → 98 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 5 | etco2: 42 → 41 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 5 | rr: 18 → 17 (-1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 1 | hr: 64 → 65 (+1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 1 | systolic: 78 → 77 (-1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 1 | diastolic: 40 → 39 (-1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 1 | spo2: 86 → 85 (-1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 2 | hr: 64 → 65 (+1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 2 | systolic: 118 → 119 (+1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 2 | diastolic: 78 → 79 (+1)
presetScenarios.ts | ACLS 6 — Bradicardia con Bloqueo Cardíaco | Paso 2 | spo2: 98 → 99 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 1 | hr: 78 → 77 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 1 | systolic: 118 → 119 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 1 | diastolic: 90 → 89 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 1 | spo2: 95 → 96 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 2 | hr: 198 → 197 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 2 | spo2: 98 → 97 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 2 | etco2: 20 → 21 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 2 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 3 | spo2: 98 → 99 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 3 | etco2: 19 → 18 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 3 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 4 | hr: 26 → 25 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 4 | spo2: 99 → 100 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 4 | etco2: 42 → 41 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 4 | rr: 18 → 19 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 5 | hr: 109 → 110 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 5 | systolic: 110 → 109 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 5 | diastolic: 72 → 71 (-1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 5 | spo2: 99 → 100 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 5 | etco2: 42 → 43 (+1)
presetScenarios.ts | ACLS 7 — SCA Inestable | Paso 5 | rr: 18 → 19 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 1 | hr: 30 → 31 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 1 | systolic: 84 → 83 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 1 | diastolic: 62 → 63 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 1 | spo2: 84 → 83 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 1 | etco2: 12 → 13 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 1 | rr: 18 → 17 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 2 | hr: 32 → 31 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 2 | systolic: 82 → 83 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 2 | diastolic: 60 → 59 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 2 | spo2: 82 → 81 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 2 | etco2: 10 → 11 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 2 | rr: 18 → 17 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 3 | hr: 33 → 34 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 3 | systolic: 80 → 79 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 3 | diastolic: 46 → 45 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 3 | spo2: 98 → 99 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 3 | etco2: 46 → 47 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 3 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 4 | hr: 78 → 77 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 4 | systolic: 130 → 131 (+1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 4 | diastolic: 84 → 83 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 4 | spo2: 100 → 100 (0)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 4 | etco2: 48 → 47 (-1)
presetScenarios.ts | ACLS 8 — Intubación Bronquio Principal Derecho | Paso 4 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 1 | hr: 126 → 125 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 1 | systolic: 84 → 83 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 1 | diastolic: 62 → 63 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 1 | spo2: 92 → 91 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 2 | hr: 112 → 113 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 2 | systolic: 110 → 109 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 2 | diastolic: 74 → 75 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 2 | spo2: 87 → 88 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 2 | etco2: 32 → 31 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 2 | rr: 38 → 37 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 3 | hr: 128 → 127 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 3 | systolic: 92 → 93 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 3 | diastolic: 74 → 73 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 3 | spo2: 98 → 97 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 3 | etco2: 48 → 47 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 3 | rr: 28 → 29 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 4 | hr: 96 → 97 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 4 | systolic: 122 → 123 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 4 | diastolic: 72 → 73 (+1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 4 | spo2: 100 → 99 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 4 | etco2: 48 → 47 (-1)
presetScenarios.ts | ACLS 9 — Taquicardia Post-Descarga | Paso 4 | rr: 20 → 19 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 1 | spo2: 80 → 79 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 2 | spo2: 100 → 100 (0)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 2 | etco2: 4 → 5 (+1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 2 | rr: 52 → 51 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 3 | spo2: 100 → 99 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 3 | etco2: 24 → 25 (+1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 3 | rr: 12 → 13 (+1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 4 | hr: 108 → 109 (+1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 4 | systolic: 118 → 117 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 4 | diastolic: 72 → 71 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 4 | spo2: 100 → 99 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 4 | etco2: 48 → 47 (-1)
presetScenarios.ts | ACLS 10 — Asistolia/FV | Paso 4 | rr: 26 → 27 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 1 | hr: 38 → 39 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 1 | systolic: 70 → 71 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 1 | diastolic: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 1 | spo2: 93 → 94 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 1 | rr: 16 → 17 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 4 | hr: 60 → 61 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 4 | systolic: 72 → 73 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 4 | diastolic: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 4 | spo2: 94 → 93 (-1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 4 | etco2: 40 → 41 (+1)
presetScenarios.ts | MC ACLS 1 — Bradicardia Sinusal | Paso 4 | rr: 10 → 9 (-1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 1 | hr: 38 → 37 (-1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 1 | systolic: 70 → 71 (+1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 1 | diastolic: 60 → 61 (+1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 1 | spo2: 91 → 92 (+1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 1 | rr: 16 → 15 (-1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 4 | hr: 60 → 61 (+1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 4 | systolic: 72 → 71 (-1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 4 | diastolic: 60 → 61 (+1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 4 | spo2: 94 → 93 (-1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 4 | etco2: 40 → 39 (-1)
presetScenarios.ts | MC ACLS 2 — BAV Tipo Mobitz II | Paso 4 | rr: 10 → 11 (+1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 1 | hr: 160 → 159 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 1 | systolic: 70 → 69 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 1 | diastolic: 58 → 57 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 1 | spo2: 96 → 97 (+1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 1 | rr: 16 → 15 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 2 | spo2: 95 → 94 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 3 | hr: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 4 | hr: 108 → 107 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 4 | systolic: 72 → 71 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 4 | diastolic: 60 → 61 (+1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 4 | spo2: 94 → 93 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 4 | etco2: 40 → 39 (-1)
presetScenarios.ts | MC ACLS 3 — TV Cardioversión | Paso 4 | rr: 10 → 9 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 1 | hr: 170 → 171 (+1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 1 | systolic: 110 → 109 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 1 | diastolic: 70 → 69 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 1 | spo2: 95 → 94 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 1 | rr: 16 → 17 (+1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 2 | spo2: 95 → 96 (+1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 3 | hr: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 3 | spo2: 95 → 94 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 4 | hr: 108 → 109 (+1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 4 | systolic: 72 → 71 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 4 | diastolic: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 4 | spo2: 94 → 93 (-1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 4 | etco2: 40 → 41 (+1)
presetScenarios.ts | MC ACLS 4 — TSV Terapia Farmacológica | Paso 4 | rr: 10 → 11 (+1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 1 | hr: 184 → 183 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 1 | systolic: 136 → 135 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 1 | diastolic: 92 → 91 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 1 | spo2: 93 → 92 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 1 | rr: 16 → 15 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 2 | spo2: 95 → 96 (+1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 3 | spo2: 95 → 96 (+1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 4 | hr: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 4 | spo2: 95 → 94 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 5 | hr: 108 → 109 (+1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 5 | systolic: 70 → 69 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 5 | diastolic: 60 → 61 (+1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 5 | spo2: 94 → 93 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 5 | etco2: 40 → 39 (-1)
presetScenarios.ts | MC ACLS 5 — TSV Cardioversión | Paso 5 | rr: 10 → 9 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 1 | hr: 160 → 159 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 1 | systolic: 148 → 149 (+1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 1 | diastolic: 88 → 89 (+1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 1 | spo2: 97 → 96 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 1 | rr: 12 → 13 (+1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 2 | spo2: 95 → 94 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 3 | spo2: 95 → 94 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 4 | hr: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 4 | spo2: 95 → 96 (+1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 5 | hr: 108 → 107 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 5 | systolic: 70 → 71 (+1)
